State,Year,Month,Solar_MWh,Wind_MWh,Temp,Precip,Wind_Capacity,Solar_Capacity
AL,2000,1,0.0,87.0,46.5,4.69,2024.0800000000006,557.17
AL,2001,1,6500.0,133423.0,41.2,4.69,620.7000000000003,0.0
AL,2002,1,0.0,4158.0,46.8,5.11,11.4,0.0
AL,2003,1,0.0,109.0,40.0,2.33,36.3,32.0
AL,2004,1,0.0,43633.0,44.2,3.27,43.1,0.0
AL,2005,1,12568.0,86227.0,49.2,2.86,64.1,0.0
AL,2006,1,0.0,228.0,51.1,5.23,0.74,0.0
AL,2007,1,0.0,1516.0,46.7,4.34,176.25,0.0
AL,2008,1,0.0,3211.0,43.0,4.09,1292.3,160.9
AL,2009,1,31498.0,1084.0,45.3,4.42,226.8,0.0
AL,2010,1,0.0,0.0,40.0,6.21,487.27000000000015,0.0
AL,2011,1,0.0,83931.0,41.1,4.03,223.0,0.0
AL,2012,1,37.0,1377.0,50.1,5.44,243.26,0.0
AL,2013,1,38722.0,4482.0,50.0,6.27,131.9,0.0
AL,2014,1,0.0,25784.0,37.3,2.7,66.0,0.0
AL,2015,1,0.0,74.0,43.6,4.34,113.4,0.0
AL,2016,1,43.0,147624.0,43.0,4.06,5.2,0.0
AL,2017,1,81010.0,2441.0,52.4,9.17,13.1,0.0
AL,2018,1,0.0,111.0,40.4,2.32,0.7,0.0
AL,2019,1,0.0,33105.0,46.5,6.01,48.1,0.0
AL,2020,1,57.0,73164.0,49.8,7.4,50.4,0.0
AL,2000,2,91086.0,171.0,52.3,1.99,285.0,0.0
AL,2001,2,0.0,1469.0,52.6,4.11,0.3,0.0
AL,2002,2,0.0,2894.0,46.0,2.99,264.0,0.0
AL,2003,2,73.0,849.0,48.0,6.76,7.2,136.0
AL,2004,2,91921.0,0.0,45.4,7.06,29.1,0.0
AL,2005,2,0.0,141647.0,51.2,4.96,0.0,8.0
AL,2006,2,0.0,1472.0,46.1,5.05,0.0,259.0
AL,2007,2,73.0,3550.0,44.8,2.64,0.0,83.7
AL,2008,2,85228.0,22671.0,49.2,5.79,0.0,550.0
AL,2009,2,-2.0,81.0,48.2,3.85,0.0,55.0
AL,2010,2,0.0,299944.0,40.6,4.22,2057.7300000000005,569.2
AL,2011,2,76.0,2074.0,49.5,3.49,820.4000000000002,0.0
